food_id,serving_text,serving_weight,is_grams
165,100 g,100,True
166,100 g,100,True
167,100 g,100,True
168,100 g,100,True
169,100 g,100,True
170,100 g,100,True
171,100 g,100,True
172,100 g,100,True
173,100 g,100,True
174,100 g,100,True
175,100 g,100,True
176,100 g,100,True
177,100 g,100,True
178,100 g,100,True
179,100 g,100,True
180,100 g,100,True
181,100 g,100,True
182,100 g,100,True
183,100 g,100,True
184,100 g,100,True
185,100 g,100,True
186,100 g,100,True
187,100 g,100,True
188,100 g,100,True
189,100 g,100,True
190,100 g,100,True
191,100 g,100,True
192,100 g,100,True
193,100 g,100,True
194,100 g,100,True
195,100 g,100,True
196,100 g,100,True
197,100 g,100,True
198,100 g,100,True
199,100 g,100,True
200,100 g,100,True
201,100 g,100,True
202,100 g,100,True
203,100 g,100,True
204,100 g,100,True
205,100 g,100,True
206,100 g,100,True
207,100 g,100,True
208,100 g,100,True
209,100 g,100,True
210,100 g,100,True
211,100 g,100,True
212,100 g,100,True
213,100 g,100,True
214,100 g,100,True
215,100 g,100,True
216,100 g,100,True
217,100 g,100,True
218,100 g,100,True
219,100 g,100,True
220,100 g,100,True
221,100 g,100,True
222,100 g,100,True
223,100 g,100,True
224,100 g,100,True
225,100 g,100,True
226,100 g,100,True
227,100 g,100,True
228,100 g,100,True
229,100 g,100,True
230,100 g,100,True
231,100 g,100,True
232,100 g,100,True
233,100 g,100,True
234,100 g,100,True
235,100 g,100,True
236,100 g,100,True
237,100 g,100,True
238,100 g,100,True
239,100 g,100,True
240,100 g,100,True
241,100 g,100,True
242,100 g,100,True
243,100 g,100,True
244,100 g,100,True
245,100 g,100,True
246,100 g,100,True
247,100 g,100,True
248,100 g,100,True
249,100 g,100,True
250,100 g,100,True
251,100 g,100,True
252,100 g,100,True
253,100 g,100,True
254,100 g,100,True
255,100 g,100,True
256,100 g,100,True
257,100 g,100,True
258,100 g,100,True
259,100 g,100,True
260,100 g,100,True
261,100 g,100,True
262,100 g,100,True
263,100 g,100,True
264,100 g,100,True
265,100 g,100,True
266,100 g,100,True
267,100 g,100,True
268,100 g,100,True
269,100 g,100,True
270,100 g,100,True
271,100 g,100,True
272,100 g,100,True
273,100 g,100,True
274,100 g,100,True
275,100 g,100,True
276,100 g,100,True
277,100 g,100,True
278,100 g,100,True
279,100 g,100,True
280,100 g,100,True
281,100 g,100,True
282,100 g,100,True
283,100 g,100,True
284,100 g,100,True
285,100 g,100,True
286,100 g,100,True
287,100 g,100,True
288,100 g,100,True
289,100 g,100,True
290,100 g,100,True
291,100 g,100,True
292,100 g,100,True
293,100 g,100,True
294,100 g,100,True
295,100 g,100,True
296,100 g,100,True
297,100 g,100,True
298,100 g,100,True
299,100 g,100,True
300,100 g,100,True
301,100 g,100,True
302,100 g,100,True
303,100 g,100,True
304,100 g,100,True
305,100 g,100,True
306,100 g,100,True
307,100 g,100,True
308,100 g,100,True
309,100 g,100,True
310,100 g,100,True
311,100 g,100,True
312,100 g,100,True
313,100 g,100,True
314,100 g,100,True
315,100 g,100,True
316,100 g,100,True
317,100 g,100,True
318,100 g,100,True
319,100 g,100,True
320,100 g,100,True
321,100 g,100,True
322,100 g,100,True
323,100 g,100,True
324,100 g,100,True
325,100 g,100,True
326,100 g,100,True
327,100 g,100,True
328,100 g,100,True
329,100 g,100,True
330,100 g,100,True
331,100 g,100,True
332,100 g,100,True
333,100 g,100,True
334,100 g,100,True
335,100 g,100,True
336,100 g,100,True
337,100 g,100,True
338,100 g,100,True
339,100 g,100,True
340,100 g,100,True
341,1 cup,152,True
342,100 g,100,True
343,100 g,100,True
